Rango,Titulo,Año,Calificacion_IMDb,URL
28,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.400"")>",1991,"8,6",https://www.imdb.com/es-es/title/tt0103064/?ref_=chttp_t_28
29,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.404"")>",1977,"8,6",https://www.imdb.com/es-es/title/tt0076759/?ref_=chttp_t_29
30,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.408"")>",1985,"8,5",https://www.imdb.com/es-es/title/tt0088763/?ref_=chttp_t_30
31,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.412"")>",2001,"8,6",https://www.imdb.com/es-es/title/tt0245429/?ref_=chttp_t_31
32,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.416"")>",2002,"8,5",https://www.imdb.com/es-es/title/tt0253474/?ref_=chttp_t_32
33,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.420"")>",2000,"8,5",https://www.imdb.com/es-es/title/tt0172495/?ref_=chttp_t_33
34,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.424"")>",2019,"8,5",https://www.imdb.com/es-es/title/tt6751668/?ref_=chttp_t_34
35,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.428"")>",1960,"8,5",https://www.imdb.com/es-es/title/tt0054215/?ref_=chttp_t_35
36,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.432"")>",1994,"8,5",https://www.imdb.com/es-es/title/tt0110357/?ref_=chttp_t_36
37,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.436"")>",1988,"8,5",https://www.imdb.com/es-es/title/tt0095327/?ref_=chttp_t_37
38,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.440"")>",2006,"8,5",https://www.imdb.com/es-es/title/tt0407887/?ref_=chttp_t_38
39,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.444"")>",2014,"8,5",https://www.imdb.com/es-es/title/tt2582802/?ref_=chttp_t_39
40,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.448"")>",1962,"8,6",https://www.imdb.com/es-es/title/tt0056058/?ref_=chttp_t_40
41,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.452"")>",2006,"8,5",https://www.imdb.com/es-es/title/tt0482571/?ref_=chttp_t_41
42,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.456"")>",1998,"8,5",https://www.imdb.com/es-es/title/tt0120586/?ref_=chttp_t_42
43,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.460"")>",1994,"8,5",https://www.imdb.com/es-es/title/tt0110413/?ref_=chttp_t_43
44,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.464"")>",2023,"8,5",https://www.imdb.com/es-es/title/tt9362722/?ref_=chttp_t_44
45,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.468"")>",1942,"8,5",https://www.imdb.com/es-es/title/tt0034583/?ref_=chttp_t_45
46,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.472"")>",1988,"8,5",https://www.imdb.com/es-es/title/tt0095765/?ref_=chttp_t_46
47,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.476"")>",2011,"8,5",https://www.imdb.com/es-es/title/tt1675434/?ref_=chttp_t_47
48,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.480"")>",1995,"8,5",https://www.imdb.com/es-es/title/tt0114814/?ref_=chttp_t_48
49,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.484"")>",1979,"8,5",https://www.imdb.com/es-es/title/tt0078748/?ref_=chttp_t_49
50,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.488"")>",1936,"8,5",https://www.imdb.com/es-es/title/tt0027977/?ref_=chttp_t_50
