rank,points,hack_count,participant_type,member_handles,problem_A_points,problem_A_penalty,problem_A_rejected,problem_B_points,problem_B_penalty,problem_B_rejected,problem_C_points,problem_C_penalty,problem_C_rejected,problem_D_points,problem_D_penalty,problem_D_rejected,problem_E_points,problem_E_penalty,problem_E_rejected,problem_F_points,problem_F_penalty,problem_F_rejected,problem_G_points,problem_G_penalty,problem_G_rejected
49,6.0,0,VIRTUAL,Yousef_Salama,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,0,1.0,0,0,0.0,0,0
50,6.0,0,CONTESTANT,PowerfulNumber,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,4,1.0,0,0,1.0,0,3,0.0,0,0
51,6.0,0,CONTESTANT,kagarii,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,4,1.0,0,2,0.0,0,0
52,6.0,0,CONTESTANT,YocyCraft,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,3,1.0,0,0,1.0,0,9,0.0,0,0
53,6.0,0,VIRTUAL,Noche_6,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,2,1.0,0,3,0.0,0,0
54,6.0,0,CONTESTANT,Kude,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,0.0,0,0
55,6.0,0,CONTESTANT,YuukiS,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,1,1.0,0,6,0.0,0,0
56,6.0,0,CONTESTANT,satyam343,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
57,6.0,0,CONTESTANT,Farhod,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,0.0,0,0
58,6.0,0,VIRTUAL,zhenghanyun2,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,1,1.0,0,3,1.0,0,6,0.0,0,0
59,5.0,0,CONTESTANT,kotatsugame,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,3,0.0,0,0
60,5.0,0,CONTESTANT,maspy,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,3,1.0,0,1,0.0,0,10
61,5.0,0,CONTESTANT,noimi,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,1,1.0,0,2,0.0,0,7
61,5.0,0,CONTESTANT,Nika_Tamliani,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,3,0.0,0,0
63,5.0,0,CONTESTANT,Drawchill,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,2,0.0,0,0
64,5.0,0,CONTESTANT,LuigiMangione,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,3
65,5.0,0,CONTESTANT,cuiaoxiang,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,2,0.0,0,0
66,5.0,0,CONTESTANT,ttamx,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,0.0,0,1,0.0,0,0
67,5.0,0,CONTESTANT,Hyperbolic,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,7,0.0,0,0
68,5.0,0,CONTESTANT,Kent999,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,9,0.0,0,0
69,5.0,0,CONTESTANT,KroosTheKeenGlint,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,1,0.0,0,0
69,5.0,0,CONTESTANT,Nana7ni,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,1,0.0,0,0
71,5.0,0,VIRTUAL,f0rest_114514,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,14,0.0,0,0
72,5.0,0,VIRTUAL,CatalanConvolution,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,3,0.0,0,0
73,5.0,0,CONTESTANT,wei_ge_shi_wo,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,0.0,0,3,0.0,0,4
74,5.0,0,CONTESTANT,becaido,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,0.0,0,1,1.0,0,0,0.0,0,1
75,5.0,0,CONTESTANT,Misuki,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
75,5.0,0,CONTESTANT,raincity,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,1,1.0,0,2,0.0,0,0
75,5.0,0,VIRTUAL,KevinLikesCoding,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,1.0,0,0,0.0,0,0,0.0,0,0
78,5.0,0,CONTESTANT,neal,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,1,1.0,0,0,0.0,0,0
79,5.0,0,CONTESTANT,OrangeMeow,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,0,0.0,0,1,0.0,0,0
79,5.0,0,VIRTUAL,Ra16bit,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,2,0.0,0,0
79,5.0,0,CONTESTANT,nifeshe,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,2,1.0,0,0,0.0,0,0
82,5.0,0,VIRTUAL,ivatopuria,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,9,0.0,0,0
83,5.0,0,CONTESTANT,Kira_1234,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
83,5.0,0,VIRTUAL,DizzyGroovy,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
85,5.0,0,VIRTUAL,CaoJinCheng,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,1,0.0,0,0
86,5.0,0,CONTESTANT,Dorothy__,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,1,0.0,0,4
86,5.0,0,CONTESTANT,SpadeA261,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
86,5.0,0,CONTESTANT,MattTheNub,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,0.0,0,0,0.0,0,0
89,5.0,0,CONTESTANT,sunyuheng365,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,5,0.0,0,0
90,5.0,0,VIRTUAL,loK10,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
91,5.0,0,CONTESTANT,fezjo,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
92,5.0,0,CONTESTANT,imgeeking,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
92,5.0,0,CONTESTANT,darkus-_-,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,1.0,0,2,0.0,0,0
94,5.0,0,VIRTUAL,Joe2011,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
94,5.0,0,CONTESTANT,nai_he,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,1,1.0,0,0,0.0,0,1,0.0,0,0
96,5.0,0,VIRTUAL,1G1U4E5S1T4,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,1,0.0,0,0
97,5.0,0,CONTESTANT,bobr_efim,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
97,5.0,0,CONTESTANT,Vanyan,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,2,1.0,0,2,0.0,0,0
99,5.0,0,CONTESTANT,K-garage,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,1,0.0,0,0,0.0,0,0
100,5.0,0,CONTESTANT,furry,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,1,1.0,0,1,0.0,0,2
100,5.0,0,CONTESTANT,7.Up,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
102,5.0,0,CONTESTANT,zhoujingchen,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
103,5.0,0,CONTESTANT,null_lambda,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,0,0.0,0,0,0.0,0,0
103,5.0,0,CONTESTANT,AbdelmagedNour,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
105,5.0,0,CONTESTANT,menborong,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,1.0,0,0,0.0,0,0,0.0,0,0
105,5.0,0,CONTESTANT,liympanda,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,0,0.0,0,2,0.0,0,0
107,5.0,0,VIRTUAL,Sirantic,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
108,5.0,0,VIRTUAL,tassei903,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,2,0.0,0,0,0.0,0,0
109,5.0,0,VIRTUAL,Bucketsmith,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,3,0.0,0,0
110,5.0,0,VIRTUAL,TAIYANGFENG,1.0,0,0,1.0,0,3,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
110,5.0,0,CONTESTANT,radhya,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
112,5.0,0,CONTESTANT,SleepingCat,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
113,5.0,0,CONTESTANT,antonband.1996,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
114,5.0,0,CONTESTANT,Boboge,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,2,0.0,0,0
114,5.0,0,CONTESTANT,Frus,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,1,0.0,0,0,0.0,0,0
114,5.0,0,VIRTUAL,BreakPlus,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,3,1.0,0,1,0.0,0,0
114,5.0,0,CONTESTANT,FzArK,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
118,5.0,0,VIRTUAL,jackson.souza,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
118,5.0,0,CONTESTANT,Sveshnikov,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
120,5.0,0,CONTESTANT,chennie,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,0.0,0,0,0.0,0,0
120,5.0,0,CONTESTANT,IBory,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,2,0.0,0,2,0.0,0,0
122,5.0,0,CONTESTANT,Aging1986,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,2,1.0,0,1,0.0,0,1,0.0,0,0
123,5.0,0,CONTESTANT,mban259,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,0,0.0,0,0
124,5.0,0,CONTESTANT,timg8710,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
125,5.0,0,VIRTUAL,Junz_LJL,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
125,5.0,0,CONTESTANT,dreamoon_love_AA,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
127,5.0,0,CONTESTANT,Coder-Osman,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,1,0.0,0,0
127,5.0,0,VIRTUAL,hibye1217,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,5,0.0,0,0,0.0,0,0
127,5.0,0,CONTESTANT,ub33,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
127,5.0,0,CONTESTANT,include_BM,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,1,0.0,0,1,0.0,0,0
131,5.0,0,VIRTUAL,Dispensable,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,4,0.0,0,0
132,5.0,0,CONTESTANT,Ggg_,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
133,5.0,0,CONTESTANT,love_gold_,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,1,0.0,0,0,0.0,0,0
133,5.0,0,CONTESTANT,blackscreen1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,2,0.0,0,0,0.0,0,0
135,5.0,0,VIRTUAL,Sevinnnn,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
135,5.0,0,VIRTUAL,RED_INSIDE,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
137,5.0,0,CONTESTANT,arash.,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,1.0,0,2,0.0,0,0,0.0,0,0
137,5.0,0,VIRTUAL,_user_,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,0,0.0,0,0
139,5.0,0,CONTESTANT,BenjaminJ,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
139,5.0,0,CONTESTANT,mujigae,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
141,5.0,0,CONTESTANT,HASBOT,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,2,1.0,0,0,0.0,0,1,0.0,0,0
141,5.0,0,CONTESTANT,ShirayukiNoa,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
143,5.0,0,CONTESTANT,ivan.alexeev,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,1,1.0,0,1,0.0,0,0
143,5.0,0,CONTESTANT,cquag,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
143,5.0,0,CONTESTANT,SHMEAT,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,1,0.0,0,0
146,5.0,0,CONTESTANT,balakrishnan,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
146,5.0,0,VIRTUAL,EasonLiang,1.0,0,0,1.0,0,1,1.0,0,2,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
146,5.0,0,CONTESTANT,MCPlayer542,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
146,5.0,0,VIRTUAL,XZRSEVEN,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
150,5.0,0,VIRTUAL,cup_of_coffee,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
150,5.0,0,VIRTUAL,Aria_Math,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,2,1.0,0,2,0.0,0,0
152,5.0,0,CONTESTANT,tfgs,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
152,5.0,0,CONTESTANT,The_Caspian_Sea,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,0.0,0,0,0.0,0,0
154,5.0,0,CONTESTANT,Mtaylor,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,4,0.0,0,0,0.0,0,0
155,5.0,0,CONTESTANT,yvbf,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
155,5.0,0,CONTESTANT,Katu2ou,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,0,0.0,0,0,0.0,0,0
157,5.0,0,VIRTUAL,enslaved,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
158,5.0,0,CONTESTANT,kenkenken,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,4,1.0,0,0,0.0,0,0,0.0,0,0
159,5.0,0,VIRTUAL,feeder3,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,2,1.0,0,1,0.0,0,0
160,5.0,0,CONTESTANT,JDScript0117,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,5,0.0,0,1,0.0,0,0
160,5.0,0,VIRTUAL,umesh_konduru,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,0,0.0,0,0
162,5.0,0,CONTESTANT,Getyoucrown,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,4,1.0,0,2,0.0,0,0,0.0,0,0
162,5.0,0,CONTESTANT,Qiubai_love,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,3,0.0,0,0,0.0,0,0
162,5.0,0,CONTESTANT,tepchik,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,0,0.0,0,0,0.0,0,0
165,5.0,0,CONTESTANT,harurun4635,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,0.0,0,8,1.0,0,1,0.0,0,0
165,5.0,0,CONTESTANT,kulovemi,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0,0.0,0,0
167,5.0,0,CONTESTANT,BS_khakim,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,2,0.0,0,1,1.0,0,0,0.0,0,0
167,5.0,0,CONTESTANT,baoziiQwQ,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0.0,0,0,1.0,0,1,0.0,0,0
167,5.0,0,CONTESTANT,sdyzpf,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0
167,5.0,0,CONTESTANT,LOL_I_AM_SERZH,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,2,0.0,0,0,0.0,0,0
171,5.0,0,CONTESTANT,Vamilio,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,2,0.0,0,1,0.0,0,0
172,5.0,0,CONTESTANT,Hamed_Ghaffari,0.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,0
